feature
num__usd_goal_real
num__duration_days
cat__category_3D Printing
cat__category_Academic
cat__category_Accessories
cat__category_Action
cat__category_Animals
cat__category_Animation
cat__category_Anthologies
cat__category_Apparel
cat__category_Apps
cat__category_Architecture
cat__category_Art
cat__category_Art Books
cat__category_Audio
cat__category_Bacon
cat__category_Blues
cat__category_Calendars
cat__category_Camera Equipment
cat__category_Candles
cat__category_Ceramics
cat__category_Children's Books
cat__category_Childrenswear
cat__category_Chiptune
cat__category_Civic Design
cat__category_Classical Music
cat__category_Comedy
cat__category_Comic Books
cat__category_Comics
cat__category_Community Gardens
cat__category_Conceptual Art
cat__category_Cookbooks
cat__category_Country & Folk
cat__category_Couture
cat__category_Crafts
cat__category_Crochet
cat__category_DIY
cat__category_DIY Electronics
cat__category_Dance
cat__category_Design
cat__category_Digital Art
cat__category_Documentary
cat__category_Drama
cat__category_Drinks
cat__category_Electronic Music
cat__category_Embroidery
cat__category_Events
cat__category_Experimental
cat__category_Fabrication Tools
cat__category_Faith
cat__category_Family
cat__category_Fantasy
cat__category_Farmer's Markets
cat__category_Farms
cat__category_Fashion
cat__category_Festivals
cat__category_Fiction
cat__category_Film & Video
cat__category_Fine Art
cat__category_Flight
cat__category_Food
cat__category_Food Trucks
cat__category_Footwear
cat__category_Gadgets
cat__category_Games
cat__category_Gaming Hardware
cat__category_Glass
cat__category_Graphic Design
cat__category_Graphic Novels
cat__category_Hardware
cat__category_Hip-Hop
cat__category_Horror
cat__category_Illustration
cat__category_Immersive
cat__category_Indie Rock
cat__category_Installations
cat__category_Interactive Design
cat__category_Jazz
cat__category_Jewelry
cat__category_Journalism
cat__category_Kids
cat__category_Knitting
cat__category_Latin
cat__category_Letterpress
cat__category_Literary Journals
cat__category_Literary Spaces
cat__category_Live Games
cat__category_Makerspaces
cat__category_Metal
cat__category_Mixed Media
cat__category_Mobile Games
cat__category_Movie Theaters
cat__category_Music
cat__category_Music Videos
cat__category_Musical
cat__category_Narrative Film
cat__category_Nature
cat__category_Nonfiction
cat__category_Painting
cat__category_People
cat__category_Performance Art
cat__category_Performances
cat__category_Periodicals
cat__category_Pet Fashion
cat__category_Photo
cat__category_Photobooks
cat__category_Photography
cat__category_Places
cat__category_Playing Cards
cat__category_Plays
cat__category_Poetry
cat__category_Pop
cat__category_Pottery
cat__category_Print
cat__category_Printing
cat__category_Product Design
cat__category_Public Art
cat__category_Publishing
cat__category_Punk
cat__category_Puzzles
cat__category_Quilts
cat__category_R&B
cat__category_Radio & Podcasts
cat__category_Ready-to-wear
cat__category_Residencies
cat__category_Restaurants
cat__category_Robots
cat__category_Rock
cat__category_Romance
cat__category_Science Fiction
cat__category_Sculpture
cat__category_Shorts
cat__category_Small Batch
cat__category_Software
cat__category_Sound
cat__category_Space Exploration
cat__category_Spaces
cat__category_Stationery
cat__category_Tabletop Games
cat__category_Taxidermy
cat__category_Technology
cat__category_Television
cat__category_Textiles
cat__category_Theater
cat__category_Thrillers
cat__category_Translations
cat__category_Typography
cat__category_Vegan
cat__category_Video
cat__category_Video Art
cat__category_Video Games
cat__category_Wearables
cat__category_Weaving
cat__category_Web
cat__category_Webcomics
cat__category_Webseries
cat__category_Woodworking
cat__category_Workshops
cat__category_World Music
cat__category_Young Adult
cat__category_Zines
cat__main_category_Art
cat__main_category_Comics
cat__main_category_Crafts
cat__main_category_Dance
cat__main_category_Design
cat__main_category_Fashion
cat__main_category_Film & Video
cat__main_category_Food
cat__main_category_Games
cat__main_category_Journalism
cat__main_category_Music
cat__main_category_Photography
cat__main_category_Publishing
cat__main_category_Technology
cat__main_category_Theater
cat__currency_AUD
cat__currency_CAD
cat__currency_CHF
cat__currency_DKK
cat__currency_EUR
cat__currency_GBP
cat__currency_HKD
cat__currency_JPY
cat__currency_MXN
cat__currency_NOK
cat__currency_NZD
cat__currency_SEK
cat__currency_SGD
cat__currency_USD
cat__country_AT
cat__country_AU
cat__country_BE
cat__country_CA
cat__country_CH
cat__country_DE
cat__country_DK
cat__country_ES
cat__country_FR
cat__country_GB
cat__country_HK
cat__country_IE
cat__country_IT
cat__country_JP
cat__country_LU
cat__country_MX
"cat__country_N,0"""
cat__country_NL
cat__country_NO
cat__country_NZ
cat__country_SE
cat__country_SG
cat__country_US
